Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
10-Nov-23,EQ,380.3,381.8,377,380.85,379.75,379.3,378.54,443.75,352,"53,55,350","2,02,72,15,362.30","95,452"
12-Nov-23,EQ,383.4,383.4,381.45,379.3,383,382.45,382.46,443.75,352,"10,11,662","38,69,19,203.35","39,907"
13-Nov-23,EQ,382.6,382.9,380,382.45,382.05,381.65,381.07,443.75,352,"17,92,951","68,32,34,046.35","63,717"
15-Nov-23,EQ,385.55,392.25,384.25,381.65,391.45,391.65,389.52,443.75,352,"53,96,259","2,10,19,67,980.65","1,25,802"
16-Nov-23,EQ,391.65,399.5,389.3,391.65,396.75,397.1,395.6,443.75,352,"69,21,788","2,73,82,42,303.60","1,24,565"
17-Nov-23,EQ,398,399,394.5,397.1,394.9,395.4,396.56,443.75,352,"39,43,464","1,56,38,30,351.00","84,552"
20-Nov-23,EQ,393.2,401.1,393.2,395.4,400.15,400.2,399.28,443.75,352,"43,05,248","1,71,89,88,192.75","85,321"
21-Nov-23,EQ,402.6,402.6,400.05,400.2,400.55,400.65,401.1,443.75,352,"27,20,124","1,09,10,38,207.50","72,441"
22-Nov-23,EQ,402.5,402.6,399.1,400.65,400.5,400.25,400.78,443.75,352,"26,59,291","1,06,57,89,721.10","65,892"
23-Nov-23,EQ,400.5,405,400.5,400.25,402.8,402.5,402.65,443.75,352,"48,38,680","1,94,83,12,363.15","94,371"
24-Nov-23,EQ,402.5,403.5,395.55,402.5,396,396,398.14,443.75,352,"31,25,283","1,24,42,99,168.60","69,437"
28-Nov-23,EQ,397,398.75,393.1,396,397.2,396.85,395.55,443.75,352,"40,72,657","1,61,09,43,054.25","93,527"
29-Nov-23,EQ,398,408.55,398,396.85,406.05,406.25,405.24,443.75,352,"77,72,043","3,14,95,35,327.95","1,08,955"
30-Nov-23,EQ,406.95,414.5,404.05,406.25,411.8,413.05,410.05,443.75,352,"99,12,979","4,06,48,52,962.85","1,39,985"
1-Dec-23,EQ,413.75,413.75,406.5,413.05,407.1,407.65,408.45,443.75,352,"49,15,213","2,00,76,34,999.60","94,634"
4-Dec-23,EQ,412.7,413,406.75,407.65,407.3,407.45,408.63,443.75,352,"53,31,236","2,17,85,24,098.90","92,832"
5-Dec-23,EQ,407.4,409,402.1,407.45,404.65,404.35,404.44,443.75,352,"55,82,684","2,25,78,60,909.45","94,367"
6-Dec-23,EQ,406.75,420.4,405.95,404.35,420.3,418.75,414.25,443.75,352,"1,10,41,035","4,57,37,70,109.10","1,55,387"
7-Dec-23,EQ,420,421.5,416.65,418.75,418.3,418.25,418.75,443.75,352,"56,25,276","2,35,56,00,588.35","1,05,558"
8-Dec-23,EQ,418.8,424.5,415,418.25,424,422.6,420.5,443.75,352,"77,39,561","3,25,45,03,888.50","1,32,597"
11-Dec-23,EQ,420,422.2,417.25,422.6,420,420.6,420.33,443.75,352,"50,42,121","2,11,93,33,559.45","1,01,686"
12-Dec-23,EQ,420.7,427.9,420.15,420.6,422,422.2,424.02,443.75,352,"59,51,682","2,52,36,31,269.95","1,17,032"
13-Dec-23,EQ,423.55,424.3,415,422.2,419.9,419.65,418.87,443.75,352,"48,48,408","2,03,08,65,280.15","99,654"
14-Dec-23,EQ,423.5,436,423.25,419.65,434,434.4,431.28,443.75,352,"1,23,40,688","5,32,23,08,022.95","2,14,863"
15-Dec-23,EQ,436.05,449.5,433.5,434.4,445.8,446.55,444.43,449.5,352,"2,07,83,617","9,23,69,17,892.75","2,96,539"
18-Dec-23,EQ,446,453.5,442,446.55,444.3,445.25,447.94,453.5,352,"1,00,91,036","4,52,01,40,211.05","1,91,284"
19-Dec-23,EQ,445.6,447.35,435,445.25,438.2,438.7,439.32,453.5,352,"80,32,347","3,52,87,63,708.00","1,89,808"
20-Dec-23,EQ,442,449.5,429.35,438.7,430.5,431.95,441.59,453.5,352,"1,32,24,971","5,84,00,16,260.20","2,41,669"
21-Dec-23,EQ,428.9,436.5,427.2,431.95,434.9,434,433.27,453.5,352,"53,31,504","2,31,00,02,064.65","1,45,804"
22-Dec-23,EQ,435.3,466.3,434,434,461.9,462.65,455.69,466.3,352,"2,30,40,407","10,49,93,49,828.90","3,17,516"
26-Dec-23,EQ,454,475.8,448.35,462.65,469.7,470.1,466.73,475.8,352,"2,73,14,322","12,74,82,99,048.10","3,26,049"
27-Dec-23,EQ,468.5,475.4,464.1,470.1,470,470.95,470.25,475.8,352,"1,26,31,496","5,93,99,28,530.50","2,00,199"
28-Dec-23,EQ,472.55,477.4,467.65,470.95,469,469.45,471.54,477.4,352,"84,19,978","3,97,03,70,034.45","1,52,805"
29-Dec-23,EQ,470.95,475.35,466.1,469.45,470.8,471.3,471.63,477.4,352,"79,80,570","3,76,38,68,120.80","1,30,529"
1-Jan-24,EQ,473,483.5,468.3,471.3,474.8,477.15,477.34,483.5,352,"1,01,73,639","4,85,62,83,990.30","1,39,809"
