Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
3-Jun-21,EQ,945,949.8,937,943.75,939,939.45,940.11,"1,067.00",545,"41,64,240","3,91,48,51,063.65","1,00,377"
4-Jun-21,EQ,940.1,944.2,934.75,939.45,935.45,936.55,939.17,"1,067.00",545,"35,50,303","3,33,43,41,915.25","76,212"
7-Jun-21,EQ,939,951.95,937.1,936.55,951.45,949.6,945.78,"1,067.00",545,"32,82,517","3,10,45,53,113.10","85,146"
8-Jun-21,EQ,952,972,951.45,949.6,967,967.2,965.92,"1,067.00",545,"63,85,642","6,16,80,41,606.50","1,52,721"
9-Jun-21,EQ,973.9,985,965.1,967.2,972,971.3,974.13,"1,067.00",545,"55,21,459","5,37,86,43,321.20","1,28,350"
10-Jun-21,EQ,979.5,981.65,966.55,971.3,968.25,968.55,972.12,"1,067.00",545,"38,78,256","3,77,01,40,244.60","95,725"
11-Jun-21,EQ,976,990,970.5,968.55,982.8,983.35,983.47,"1,067.00",545,"47,77,035","4,69,80,75,395.30","1,07,510"
14-Jun-21,EQ,983,988.45,976,983.35,984.9,984.2,983.06,"1,067.00",545,"22,36,373","2,19,84,99,290.40","61,546"
15-Jun-21,EQ,985.1,993,983.2,984.2,985,985.45,987.85,"1,067.00",545,"25,59,001","2,52,79,17,580.65","77,275"
16-Jun-21,EQ,984.05,986,974,985.45,983,979.4,980.33,"1,067.00",545,"31,38,753","3,07,70,00,647.45","1,11,172"
17-Jun-21,EQ,980,988.95,978.55,979.4,985,986.4,983.95,"1,067.00",545,"36,09,989","3,55,20,53,853.05","1,21,395"
18-Jun-21,EQ,990,996.7,970.1,986.4,974.8,975.25,980.63,"1,067.00",545,"56,22,783","5,51,38,59,655.75","1,34,661"
21-Jun-21,EQ,968,983.45,961.25,975.25,981.5,982,974.13,"1,067.00",545,"16,39,495","1,59,70,89,098.95","47,795"
22-Jun-21,EQ,982.1,988.2,976.25,982,978.1,980.1,983.26,"1,067.00",545,"25,29,648","2,48,73,08,325.15","55,440"
23-Jun-21,EQ,985,985,971,980.1,974.25,972.9,975.46,"1,067.00",545,"23,95,543","2,33,67,59,070.05","66,794"
24-Jun-21,EQ,972,994.6,969.1,972.9,984.9,989.7,986.32,"1,067.00",545,"46,86,567","4,62,24,70,234.10","97,696"
25-Jun-21,EQ,995,"1,010.00",989.25,989.7,993.35,995.65,998.92,"1,067.00",545,"51,96,000","5,19,03,68,868.15","1,34,545"
28-Jun-21,EQ,"1,000.00","1,000.00",984.2,995.65,985.7,985.3,988.18,"1,067.00",550.3,"18,44,159","1,82,23,52,749.85","58,687"
29-Jun-21,EQ,986.95,993.9,980.5,985.3,985.05,983.6,986.04,"1,067.00",550.3,"18,95,170","1,86,87,17,748.10","72,654"
30-Jun-21,EQ,981,991.45,981,983.6,985.45,983.5,985.32,"1,067.00",550.3,"26,82,591","2,64,32,08,523.80","78,993"
