Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
8-Aug-19,EQ,965.2,969.5,960,965.2,961.25,961.85,962.58,"1,278.80",858,"43,731","4,20,94,790.80","2,945"
9-Aug-19,EQ,961.8,964.05,958.05,961.85,960,960.2,961.16,"1,278.80",858,"1,28,180","12,32,01,461.65","11,071"
13-Aug-19,EQ,950.1,968,930.65,960.2,960,962,954.87,"1,278.80",858,"1,00,042","9,55,27,413.60","9,399"
14-Aug-19,EQ,962,968.15,958,962,965.1,967.1,963.99,"1,278.80",858,"62,591","6,03,37,207.35","4,050"
16-Aug-19,EQ,960.2,979.4,958.6,967.1,976.9,977.25,966.72,"1,278.80",858,"1,28,244","12,39,75,520.60","12,205"
19-Aug-19,EQ,977,989.05,962,977.25,967,968.6,970.33,"1,278.80",858,"1,20,080","11,65,17,193.20","5,237"
20-Aug-19,EQ,970,976.45,963.3,968.6,975,975.15,972.9,"1,278.80",858,"78,737","7,66,03,423.60","5,322"
21-Aug-19,EQ,977.05,978,955.65,975.15,970,972.1,969.41,"1,278.80",858,"93,578","9,07,15,224.25","4,877"
22-Aug-19,EQ,965.1,974,954.05,972.1,964,964.85,964.9,"1,278.80",858,"1,32,065","12,74,30,055.90","8,811"
23-Aug-19,EQ,960.55,985.9,960.55,964.85,984.5,982.75,981.46,"1,278.80",858,"1,09,796","10,77,59,963.40","7,097"
26-Aug-19,EQ,984.5,999.5,969.5,982.75,983.1,985.25,979.04,"1,278.80",858,"68,222","6,67,92,377.00","5,494"
27-Aug-19,EQ,981.15,991,960,985.25,968,966.75,972.12,"1,278.80",858,"1,89,551","18,42,66,110.10","9,149"
28-Aug-19,EQ,967.05,983.6,962.05,966.75,975,977.75,978.24,"1,278.80",858,"1,17,632","11,50,71,934.30","5,807"
29-Aug-19,EQ,978,978,961.55,977.75,969,968,967.12,"1,278.80",858,"1,01,768","9,84,21,933.50","3,964"
30-Aug-19,EQ,967.9,978.9,961.05,968,975.05,975.8,973.4,"1,278.80",858,"63,894","6,21,94,249.55","3,827"
3-Sep-19,EQ,982.75,982.75,970,975.8,978,978.25,977.03,"1,276.55",858,"44,112","4,30,98,858.05","1,664"
4-Sep-19,EQ,974,990,966.1,978.25,968,972.8,985.08,"1,276.55",858,"1,37,316","13,52,67,340.05","4,545"
5-Sep-19,EQ,968.45,972.5,961.1,972.8,968,968.15,966.41,"1,276.55",858,"1,48,711","14,37,15,668.70","6,902"
6-Sep-19,EQ,965,974.35,962.4,968.15,974.35,970.8,969,"1,276.55",858,"51,047","4,94,64,399.20","4,440"
9-Sep-19,EQ,972.9,999.35,964.1,970.8,993.5,997.9,989.55,"1,265.00",858,"1,35,179","13,37,66,501.60","10,052"
11-Sep-19,EQ,994,997,981,997.9,993,990.2,989.64,"1,265.00",858,"1,69,049","16,72,98,395.45","15,013"
12-Sep-19,EQ,992,994.75,983.1,990.2,988,986.95,987.97,"1,265.00",858,"34,304","3,38,91,232.15","3,526"
13-Sep-19,EQ,987.9,992,977.2,986.95,990.4,990.1,986.66,"1,265.00",858,"1,37,322","13,54,90,713.45","5,049"
16-Sep-19,EQ,986.5,993.8,985.1,990.1,990.25,990.4,988.89,"1,241.35",858,"73,954","7,31,32,332.85","4,048"
17-Sep-19,EQ,987.35,989.95,975.75,990.4,980.95,980.9,981.28,"1,241.35",858,"93,762","9,20,07,175.20","5,488"
18-Sep-19,EQ,981.8,987.95,974,980.9,984,983.85,983.5,"1,241.35",858,"54,901","5,39,94,935.00","3,271"
19-Sep-19,EQ,985,985.3,956.35,983.85,966,967.55,974.13,"1,241.35",858,"1,10,789","10,79,22,857.20","4,570"
20-Sep-19,EQ,970.85,990.9,961,967.55,970,972.55,973.49,"1,241.35",858,"2,00,626","19,53,07,849.80","16,199"
23-Sep-19,EQ,974.9,979.2,945.3,972.55,959,958,953.98,"1,213.75",858,"2,90,786","27,74,04,440.75","17,113"
24-Sep-19,EQ,964.55,982.35,938.3,958,969,966.1,965.1,"1,213.75",858,"2,30,806","22,27,50,466.00","13,057"
25-Sep-19,EQ,972,972,945.25,966.1,950,959.2,960.14,"1,213.75",858,"1,05,233","10,10,38,598.60","8,104"
26-Sep-19,EQ,957.05,958.95,941.1,959.2,946.9,946.55,948.06,"1,213.75",858,"2,02,791","19,22,58,318.30","14,893"
27-Sep-19,EQ,947,955,935,946.55,940.5,938.4,942.83,"1,213.75",858,"43,081","4,06,17,876.90","5,588"
30-Sep-19,EQ,940.5,964.2,935.25,938.4,954.5,957,949.22,"1,183.00",858,"3,51,372","33,35,27,747.90","6,927"
1-Oct-19,EQ,957.1,962.95,934.4,957,938.95,937.45,943.41,"1,183.00",858,"5,83,671","55,06,41,272.10","10,075"
3-Oct-19,EQ,940,944.75,936.2,937.45,937,937.75,939.32,"1,183.00",858,"1,73,642","16,31,04,940.20","7,778"
4-Oct-19,EQ,940,947.55,936,937.75,938,938.7,938.21,"1,183.00",858,"2,56,231","24,03,99,269.95","5,950"
7-Oct-19,EQ,946.7,959.25,935.15,938.7,945,953.45,946.85,"1,145.40",858,"2,77,972","26,31,97,983.20","8,043"
9-Oct-19,EQ,951.6,951.6,924.2,953.45,929.5,929.4,934.45,"1,145.40",858,"2,64,606","24,72,62,383.50","19,980"
10-Oct-19,EQ,929.9,939,900.05,929.4,908,909.2,916.24,"1,145.40",858,"4,08,474","37,42,58,340.95","16,616"
11-Oct-19,EQ,914.45,914.45,880.1,909.2,887,884.1,898.15,"1,145.40",858,"3,77,223","33,88,02,340.00","22,769"
14-Oct-19,EQ,889.15,909,887,884.1,905.05,904.65,901.64,"1,145.40",858,"1,07,137","9,65,99,476.50","7,672"
15-Oct-19,EQ,901,922.95,901,904.65,921,921.5,919.6,"1,145.40",858,"1,14,430","10,52,29,699.25","4,807"
16-Oct-19,EQ,917,925,909,921.5,921.1,921.75,918.72,"1,145.40",858,"45,483","4,17,86,324.85","4,458"
17-Oct-19,EQ,924,924.95,917.1,921.75,923.05,923.65,921.43,"1,145.40",858,"49,462","4,55,75,646.35","3,905"
18-Oct-19,EQ,924.95,943,918.05,923.65,930.1,935.85,934.91,"1,145.40",858,"1,87,638","17,54,24,878.00","7,940"
