Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
8-Mar-19,EQ,"1,641.00","1,660.10","1,600.00","1,640.40","1,654.00","1,648.40","1,630.35","1,987.00","1,271.50","1,51,972","24,77,67,326.65","12,362"
11-Mar-19,EQ,"1,641.35","1,662.00","1,616.05","1,648.40","1,661.00","1,647.50","1,637.52","1,987.00","1,271.50","2,43,191","39,82,29,880.15","16,541"
12-Mar-19,EQ,"1,648.00","1,660.00","1,624.00","1,647.50","1,630.00","1,630.40","1,641.21","1,987.00","1,271.50","1,16,165","19,06,51,637.70","15,565"
13-Mar-19,EQ,"1,644.40","1,665.00","1,630.00","1,630.40","1,634.95","1,632.55","1,647.50","1,987.00","1,271.50","1,46,478","24,13,21,922.25","11,952"
14-Mar-19,EQ,"1,646.95","1,662.95","1,633.00","1,632.55","1,661.20","1,655.95","1,649.15","1,987.00","1,271.50","91,460","15,08,30,978.00","7,014"
15-Mar-19,EQ,"1,662.00","1,670.00","1,613.00","1,655.95","1,615.00","1,618.65","1,634.98","1,987.00","1,271.50","1,80,262","29,47,24,725.45","16,550"
18-Mar-19,EQ,"1,629.00","1,629.00","1,555.05","1,618.65","1,576.00","1,568.00","1,582.40","1,987.00","1,271.50","2,71,513","42,96,42,584.80","39,783"
19-Mar-19,EQ,"1,582.95","1,672.80","1,540.00","1,568.00","1,644.00","1,635.55","1,617.33","1,987.00","1,271.50","9,75,731","1,57,80,83,582.55","75,969"
20-Mar-19,EQ,"1,645.00","1,665.00","1,618.05","1,635.55","1,662.00","1,660.95","1,647.34","1,987.00","1,271.50","3,11,672","51,34,28,901.30","32,920"
22-Mar-19,EQ,"1,669.95","1,675.00","1,653.05","1,660.95","1,661.00","1,661.60","1,662.11","1,987.00","1,271.50","1,83,507","30,50,09,201.25","38,078"
25-Mar-19,EQ,"1,645.00","1,670.00","1,625.00","1,661.60","1,666.20","1,665.60","1,652.50","1,987.00","1,330.00","2,29,280","37,88,84,129.50","20,164"
26-Mar-19,EQ,"1,673.95","1,677.50","1,648.00","1,665.60","1,661.90","1,667.90","1,663.08","1,987.00","1,330.00","98,076","16,31,08,598.25","14,709"
27-Mar-19,EQ,"1,680.00","1,685.00","1,662.15","1,667.90","1,665.00","1,671.00","1,673.03","1,987.00","1,330.00","1,14,037","19,07,87,641.40","10,751"
28-Mar-19,EQ,"1,665.00","1,698.90","1,655.05","1,671.00","1,693.00","1,673.20","1,670.08","1,987.00","1,330.00","3,38,853","56,59,12,330.35","16,071"
